iata,city_en,city_cn,lat,lon,airport_name
PEK,Beijing,北京,40.080101013183594,116.58499908447266,Beijing Capital International Airport
HLD,Hailar,海拉尔,49.2050018311,119.824996948,Dongshan Airport
TSN,Tianjin,天津,39.124401092499994,117.346000671,Tianjin Binhai International Airport
TYN,Taiyuan,太原,37.74689865112305,112.62799835205078,Taiyuan Wusu Airport
CAN,Guangzhou,广州,23.39240074157715,113.29900360107422,Guangzhou Baiyun International Airport
CSX,Changsha,长沙,28.189199447599997,113.220001221,Changsha Huanghua International Airport
KWL,Guilin,桂林,25.21809959411621,110.03900146484375,Guilin Liangjiang International Airport
NNG,Nanning,南宁,22.608299255371094,108.1719970703125,Nanning Wuxu Airport
SZX,Shenzhen,深圳,22.639299392700195,113.81099700927734,Shenzhen Bao'an International Airport
CGO,Zhengzhou,郑州,34.519699096699995,113.841003418,Zhengzhou Xinzheng International Airport
WUH,Wuhan,武汉,30.7838,114.208,Wuhan Tianhe International Airport
LHW,Lanzhou,兰州,36.5152015686,103.620002747,Lanzhou Zhongchuan Airport
XIY,Xi'an,西安,34.447102,108.751999,Xi'an Xianyang International Airport
JHG,Jinghong,景洪,21.973899841308594,100.76000213623047,Xishuangbanna Gasa Airport
KMG,Kunming,昆明,25.1019444,102.9291667,Kunming Changshui International Airport
XMN,Xiamen,厦门,24.54400062561035,118.12799835205078,Xiamen Gaoqi International Airport
KHN,Nanchang,南昌,28.864999771118164,115.9000015258789,Nanchang Changbei International Airport
FOC,Fuzhou,福州,25.935100555419922,119.66300201416016,Fuzhou Changle International Airport
HGH,Hangzhou,杭州,30.22949981689453,120.43399810791016,Hangzhou Xiaoshan International Airport
NGB,Ningbo,宁波,29.82670021057129,121.46199798583984,Ningbo Lishe International Airport
NKG,Nanjing,南京,31.742000579833984,118.86199951171875,Nanjing Lukou Airport
HFE,Hefei,合肥,31.780000686645508,117.2979965209961,Hefei Luogang International Airport
TAO,Qingdao,青岛,36.3621,120.0744,Liuting Airport
SHA,Shanghai,上海,31.197900772094727,121.33599853515625,Shanghai Hongqiao International Airport
YNT,Yantai,烟台,37.40169906616211,121.37200164794922,Yantai Laishan Airport
