airline,flight_no,from_iata,from_city,to_iata,to_city
3U,3U4608,BHY,北海,XIY,西安
3U,3U4608,CAN,广州,CKG,重庆
3U,3U4608,CAN,广州,CTU,成都
3U,3U4608,CGO,郑州,CGQ,长春
3U,3U4608,CGO,郑州,CKG,重庆
3U,3U4608,CGO,郑州,CTU,成都
3U,3U4608,CGO,郑州,HGH,杭州
3U,3U4608,CGO,郑州,HRB,哈尔滨
3U,3U4608,CGO,郑州,KMG,昆明
3U,3U4608,CGO,郑州,URC,乌鲁木齐
3U,3U4608,CGQ,长春,CGO,郑州
3U,3U4608,CGQ,长春,NKG,南京
3U,3U4608,CGQ,长春,TNA,济南
3U,3U4608,CGQ,长春,TSN,天津
3U,3U4608,CKG,重庆,CAN,广州
3U,3U4608,CKG,重庆,CGO,郑州
3U,3U4608,CKG,重庆,CSX,长沙
3U,3U4608,CKG,重庆,CTU,成都
3U,3U4608,CKG,重庆,CZX,常州
3U,3U4608,CKG,重庆,DLC,大连
3U,3U4608,CKG,重庆,DYG,张家界
3U,3U4608,CKG,重庆,HAK,海口
3U,3U4608,CKG,重庆,HGH,杭州
3U,3U4608,CKG,重庆,KHN,南昌
3U,3U4608,CKG,重庆,KMG,昆明
3U,3U4608,CKG,重庆,LHW,兰州
3U,3U4608,CKG,重庆,LJG,丽江
3U,3U4608,CKG,重庆,LXA,拉萨
3U,3U4608,CKG,重庆,NGB,宁波
3U,3U4608,CKG,重庆,NKG,南京
3U,3U4608,CKG,重庆,NNG,南宁
3U,3U4608,CKG,重庆,PEK,北京
3U,3U4608,CKG,重庆,PVG,上海
3U,3U4608,CKG,重庆,PZI,攀枝花
3U,3U4608,CKG,重庆,SWA,汕头
3U,3U4608,CKG,重庆,SYX,三亚
3U,3U4608,CKG,重庆,SZX,深圳
3U,3U4608,CKG,重庆,TNA,济南
3U,3U4608,CKG,重庆,TSN,天津
3U,3U4608,CKG,重庆,TYN,太原
3U,3U4608,CKG,重庆,URC,乌鲁木齐
3U,3U4608,CKG,重庆,WUH,武汉
3U,3U4608,CKG,重庆,WUX,无锡
3U,3U4608,CKG,重庆,XIY,西安
3U,3U4608,CKG,重庆,XNN,西宁
3U,3U4608,CKG,重庆,YIH,宜昌
3U,3U4608,CKG,重庆,ZHA,湛江
3U,3U4608,CSX,长沙,CKG,重庆
3U,3U4608,CSX,长沙,CTU,成都
3U,3U4608,CSX,长沙,FOC,福州
3U,3U4608,CSX,长沙,KMG,昆明
3U,3U4608,CSX,长沙,SHE,沈阳
3U,3U4608,CSX,长沙,WNZ,温州
3U,3U4608,CSX,长沙,XMN,厦门
3U,3U4608,CTU,成都,CAN,广州
3U,3U4608,CTU,成都,CGO,郑州
3U,3U4608,CTU,成都,CKG,重庆
3U,3U4608,CTU,成都,CSX,长沙
3U,3U4608,CTU,成都,DCY,稻城
3U,3U4608,CTU,成都,DSN,鄂尔多斯
3U,3U4608,CTU,成都,HAK,海口
3U,3U4608,CTU,成都,HDG,邯郸
3U,3U4608,CTU,成都,HET,呼和浩特
3U,3U4608,CTU,成都,HFE,合肥
3U,3U4608,CTU,成都,HGH,杭州
3U,3U4608,CTU,成都,JHG,景洪
3U,3U4608,CTU,成都,JIQ,黔江
3U,3U4608,CTU,成都,JZH,九寨沟
3U,3U4608,CTU,成都,KHN,南昌
3U,3U4608,CTU,成都,KMG,昆明
3U,3U4608,CTU,成都,KOW,赣州
3U,3U4608,CTU,成都,KWE,贵阳
3U,3U4608,CTU,成都,LHW,兰州
3U,3U4608,CTU,成都,LJG,丽江
3U,3U4608,CTU,成都,LUM,芒市
3U,3U4608,CTU,成都,LXA,拉萨
3U,3U4608,CTU,成都,LZY,林芝
3U,3U4608,CTU,成都,NKG,南京
3U,3U4608,CTU,成都,NNG,南宁
3U,3U4608,CTU,成都,PEK,北京
3U,3U4608,CTU,成都,PVG,上海
3U,3U4608,CTU,成都,PZI,攀枝花
3U,3U4608,CTU,成都,SHE,沈阳
3U,3U4608,CTU,成都,SJW,石家庄
3U,3U4608,CTU,成都,SYX,三亚
3U,3U4608,CTU,成都,SZX,深圳
3U,3U4608,CTU,成都,TAO,青岛
3U,3U4608,CTU,成都,TNA,济南
3U,3U4608,CTU,成都,TSN,天津
3U,3U4608,CTU,成都,TYN,太原
3U,3U4608,CTU,成都,URC,乌鲁木齐
3U,3U4608,CTU,成都,WNZ,温州
3U,3U4608,CTU,成都,WUH,武汉
3U,3U4608,CTU,成都,WUX,无锡
3U,3U4608,CTU,成都,WXN,万州
3U,3U4608,CTU,成都,XIC,西昌
3U,3U4608,CTU,成都,XIY,西安
3U,3U4608,CTU,成都,XMN,厦门
3U,3U4608,CTU,成都,XNN,西宁
3U,3U4608,CTU,成都,XUZ,徐州
3U,3U4608,CTU,成都,YIH,宜昌
3U,3U4608,CTU,成都,YTY,扬州
3U,3U4608,CZX,常州,CKG,重庆
3U,3U4608,CZX,常州,HRB,哈尔滨
3U,3U4608,CZX,常州,XMN,厦门
3U,3U4608,CZX,常州,ZUH,珠海
3U,3U4608,DAT,大同,TYN,太原
3U,3U4608,DCY,稻城,CTU,成都
3U,3U4608,DLC,大连,CKG,重庆
3U,3U4608,DLC,大连,HGH,杭州
3U,3U4608,DLC,大连,HRB,哈尔滨
3U,3U4608,DLC,大连,TNA,济南
3U,3U4608,DLC,大连,XUZ,徐州
3U,3U4608,DNH,敦煌,LHW,兰州
3U,3U4608,DSN,鄂尔多斯,CTU,成都
3U,3U4608,DSN,鄂尔多斯,SHE,沈阳
3U,3U4608,DYG,张家界,CKG,重庆
3U,3U4608,DYG,张家界,NKG,南京
3U,3U4608,FOC,福州,CSX,长沙
3U,3U4608,FOC,福州,XIY,西安
3U,3U4608,GXH,夏河,LXA,拉萨
3U,3U4608,GXH,夏河,XIY,西安
3U,3U4608,HAK,海口,CKG,重庆
3U,3U4608,HAK,海口,CTU,成都
3U,3U4608,HAK,海口,HGH,杭州
3U,3U4608,HAK,海口,NGB,宁波
3U,3U4608,HAK,海口,ZUH,珠海
3U,3U4608,HDG,邯郸,CTU,成都
3U,3U4608,HET,呼和浩特,CTU,成都
3U,3U4608,HFE,合肥,CTU,成都
3U,3U4608,HGH,杭州,CGO,郑州
3U,3U4608,HGH,杭州,CKG,重庆
3U,3U4608,HGH,杭州,CTU,成都
3U,3U4608,HGH,杭州,DLC,大连
3U,3U4608,HGH,杭州,HAK,海口
3U,3U4608,HGH,杭州,KWE,贵阳
3U,3U4608,HGH,杭州,TSN,天津
3U,3U4608,HGH,杭州,TYN,太原
3U,3U4608,HRB,哈尔滨,CGO,郑州
3U,3U4608,HRB,哈尔滨,CZX,常州
3U,3U4608,HRB,哈尔滨,DLC,大连
3U,3U4608,HRB,哈尔滨,NGB,宁波
3U,3U4608,HRB,哈尔滨,NKG,南京
3U,3U4608,HRB,哈尔滨,NZH,满洲里
3U,3U4608,HRB,哈尔滨,SJW,石家庄
3U,3U4608,HRB,哈尔滨,TNA,济南
3U,3U4608,HRB,哈尔滨,TSN,天津
3U,3U4608,HRB,哈尔滨,WNZ,温州
3U,3U4608,HRB,哈尔滨,WUH,武汉
