站点,站名,经度,纬度
北京,BJP,116.427282,39.903716
北京南,VNP,116.379092,39.864881
北京西,BXP,116.321337,39.894966
广州南,IZQ,113.269462,22.988878
重庆北,CUW,106.550967,29.608358
广州东,GGQ,113.32471,23.149617
上海,SHH,121.455148,31.248732
上海南,SNH,121.429489,31.153304
上海虹桥,AOH,121.320876,31.194237
上海西,SXH,121.402728,31.262721
天津,TJP,117.209202,39.135483
天津南,TIP,117.060761,39.057057
天津西,TXP,117.163261,39.158447
长春,CCT,125.324108,43.909914
长春西,CRT,125.20111,43.876921
成都东,ICW,104.141625,30.62886
成都南,CNW,104.068464,30.605893
成都,CDW,104.073403,30.696772
长沙南,CWQ,113.063633,28.146749
福州,FZS,119.319633,26.112957
福州南,FYS,119.390021,25.98578
贵阳,GIW,106.703163,26.556883
广州,GZQ,113.257633,23.148876
哈尔滨,HBB,126.632979,45.761554
哈尔滨西,VAB,126.578564,45.706451
合肥,HFH,117.31668,31.884784
呼和浩特东,NDC,111.765567,40.850342
呼和浩特,HHC,111.665793,40.830895
海口东,HMQ,110.343103,19.983627
海口,VUQ,110.162554,20.027465
杭州东,HGH,120.213041,30.291089
杭州,HZH,120.18252,30.243753
济南,JNK,116.991734,36.670651
济南西,JGK,116.892552,36.669033
兰州,LZJ,103.851238,36.034823
兰州西,LAJ,103.752739,36.068391
南昌,NCG,115.918815,28.662012
南京,NJH,118.796665,32.086372
南京南,NKH,118.798175,31.96898
南宁,NNZ,108.31534,22.826642
石家庄,SJP,114.483011,38.010509
沈阳,SYT,123.393544,41.795146
沈阳北,SBT,123.436584,41.818333
武汉,WHN,114.424252,30.607478
乌鲁木齐南,WMR,87.586258,43.78034
西安北,EAY,108.938568,34.376076
西宁,XNO,101.81383,36.620239
郑州,ZZF,113.660789,34.746514
安庆,AQH,117.065379,30.549098
蚌埠,BBH,117.37762,32.943937
北海,BHZ,109.128222,21.453139
百色,BIZ,106.664238,23.885593
包头东,BDC,110.024867,40.570342
包头,BTC,109.836057,40.606262
本溪,BXT,123.759107,41.295286
苍南,CEH,120.412128,27.527619
池州,IYH,117.522087,30.619559
常州,CZH,119.973395,31.785408
丹东,DUT,124.388029,40.12427
敦化,DHL,128.242129,43.380599
都江堰,DDW,103.638499,30.957391
大连北,DFT,121.607416,39.016775
大连,DLT,121.632832,38.922303
达州,RXW,107.453435,31.198531
恩施,ESN,109.484826,30.348677
福鼎,FES,120.190183,27.282795
凤凰机场,FJQ,109.407528,18.3089
抚顺北,FET,123.917987,41.888691
桂林北,GBZ,110.301969,25.329235
桂林,GLZ,110.282539,25.261227
广州北,GBQ,113.204561,23.37696
赣州,GZG,114.964418,25.8195
公主岭南,GBT,124.815702,43.473132
汉口,HKN,114.255309,30.618455
哈密,HMR,93.505869,42.849819
海宁西,EUH,120.391759,30.438696
黄石,HSN,114.940824,30.154082
贺州,HXZ,111.539662,24.454154
金华南,RNH,119.738689,29.114217
金华,JBH,119.635526,29.110163
九江,JJG,116.005962,29.704792
吉林,JLL,126.578014,43.858614
集宁南,JAC,113.099336,41.031426
江山,JUH,118.643701,28.771946
江油,JFW,104.770434,31.781457
金州,JZT,121.727277,39.087947
开封,KFF,114.353134,34.771189
昆山南,KNH,120.950857,31.353254
六安,UAH,116.500346,31.715173
利川,LCN,108.940287,30.278346
龙岩,LYS,117.006442,25.095996
洛阳龙门,LLF,112.458337,34.593815
柳州,LZZ,109.388712,24.307458
辽中,LZD,122.771232,41.559091
绵阳,MYW,104.717547,31.459053
宁波,NGH,121.536949,29.862082
南充,NCW,106.086145,30.807573
盘锦,PVD,122.062019,41.197805
郫县西,PCW,103.879573,30.823889
青城山,QSW,103.606666,30.892152
青岛,QDK,120.313423,36.064599
齐齐哈尔,QHX,123.995088,47.339429
泉州,QYS,118.568081,24.973091
衢州,QEH,118.88088,28.923797
瑞金,RJG,116.055572,25.863797
山海关,SHD,119.766748,40.001031
遂宁,NIW,105.542834,30.542062
商丘,SQF,115.65697,34.443853
上饶,SRG,118.006477,28.490461
三亚,SEQ,109.492735,18.296449
邵阳,SYQ,111.461058,27.213477
十堰,SNN,110.781642,32.603608
深圳,SZQ,114.117206,22.53183
苏州,SZH,120.610731,31.329673
随州,SZN,113.417323,31.720941
塘沽,TGP,117.642561,39.02693
唐山北,FUP,118.119025,39.817405
唐山,TSP,118.119548,39.625689
武昌,WCN,114.317852,30.528647
威海,WKK,122.144446,37.42429
芜湖,WHH,118.392744,31.348381
无锡,WXH,120.305362,31.587292
温州南,VRH,120.585324,27.966013
新会,EFQ,113.071234,22.517449
厦门北,XKS,118.074039,24.636219
厦门,XMS,118.115433,24.468293
襄阳,XFN,112.154902,32.057829
徐州,XCH,117.207097,34.265243
延安,YWY,109.480578,36.557283
宜昌东,HAN,111.368705,30.658908
亚龙湾,TWQ,109.602276,18.302561
营山,NUW,106.568704,31.065258
烟台,YAK,121.382522,37.54807
义乌,YWH,120.043509,29.378183
阳新,YON,115.181117,29.861129
崖州,YUQ,109.157443,18.376817
永州,AOQ,111.571166,26.454129
淄博,ZBK,118.057297,36.789189
珠海,ZHQ,113.550064,22.215235
珠海北,ZIQ,113.551431,22.40106
镇江,ZJH,119.432796,32.196997
枣庄,ZEK,117.30554,34.78126
安达,ADX,125.32266,46.402478
安德,ARW,103.811957,30.874284
鳌江,ARH,120.545893,27.62562
安陆,ALN,113.695131,31.25681
鞍山西,AXT,122.915734,41.117906
安亭北,ASH,121.158305,31.31446
博鳌,BWQ,110.487377,19.136272
蚌埠南,BMH,117.441597,32.901631
北戴河,BEP,119.420099,39.851931
保定,BDP,115.479253,38.863753
巴东,BNN,110.357817,30.662827
宝华山,BWH,119.055706,32.14919
北滘,IBQ,113.263941,22.91527
碧江,BLQ,113.262101,22.950198
鲅鱼圈,BYT,122.094348,40.18794
赤壁北,CIN,113.900578,29.735707
昌乐,CLK,118.838991,36.710527
常平,DAQ,114.006232,22.983291
昌图西,CPT,124.067808,42.778191
常州北,ESH,119.955497,31.854055
滁州,CXH,118.320349,32.198475
郴州西,ICQ,112.96966,25.735955
沧州西,CBP,116.76789,38.306999
德安,DAG,115.766664,29.309655
东方,UFQ,108.691492,19.088479
德惠西,DXT,125.677393,44.545863
大庆东,LFX,125.123235,46.533519
大庆西,RHX,124.885966,46.656765
东升,DRQ,113.291663,22.62269
登沙河,DWT,122.060916,39.221369
丹徒,RUH,119.520269,32.114958
德阳,DYW,104.390024,31.166105
丹阳,DYH,119.592629,32.002104
丹阳北,EXH,119.670936,32.014536
大英东,IAW,105.279404,30.567822
定远,EWH,117.842383,32.574429
德州东,DIP,116.461465,37.409545
鄂州,ECN,114.866522,30.361592
福安,FAS,119.717283,26.834119
肥东,FIH,117.485729,31.862292
奉化,FHH,121.464136,29.628235
福清,FQS,119.38502,25.675652
抚顺,FST,123.903057,41.863728
富县东,FDY,109.398713,36.021252
扶余北,FBT,126.003141,45.008369
谷城,GCN,111.602395,32.264809
贵港,GGZ,109.613257,23.099028
高密,GMK,119.76815,36.392568
共青城,GAG,115.774905,29.242032
巩义南,GYF,112.916597,34.670631
古镇,GNQ,113.20568,22.598279
冠豸山,GSS,116.679175,25.524038
盖州西,GAT,122.273784,40.404792
红安西,VXN,114.630979,31.003919
合川,WKW,106.277404,29.95978
汉川,HCN,113.813139,30.541545
海城西,HXT,122.65938,40.914379
红光镇,IGW,103.944214,30.771434
涵江,HJS,119.175996,25.491598
葫芦岛北,HPD,120.76358,40.743347
花桥,VQH,121.045246,31.335533
华山北,HDY,110.099097,34.581432
惠山,VCH,120.199533,31.67024
衡山西,HEQ,112.789406,27.247774
衡阳东,HVQ,112.709676,26.896446
湖州,VZH,120.023526,30.863435
晋江,JJS,118.458709,24.794532
江门,JWQ,113.103291,22.561139
角美,JES,117.880286,24.526534
金山北,EGH,121.089579,30.894218
建始,JRN,109.728324,30.567821
嘉善南,EAH,120.935639,30.787984
九台南,JNL,125.81169,44.02251
嘉兴南,EPH,120.79978,30.690965
胶州北,JZK,120.05592,36.396508
荆州,JBN,112.213109,30.368305
金寨,JZH,115.97572,31.625681
锦州南,JOD,121.12588,41.016907
焦作,JOF,113.234925,35.222865
昆山,KSH,120.956936,31.365716
开原西,KXT,123.918484,42.549692
灵宝西,LPF,110.688911,34.577465
廊坊,LJP,116.708118,39.509275
临海,UFH,121.246225,28.879883
连江,LKS,119.566523,26.194396
龙嘉,UJL,125.700812,43.992789
陵水,LIQ,110.033014,18.53615
丽水,USH,119.953894,28.441475
庐山,LSG,115.88205,29.598101
龙山镇,LAS,117.362678,24.691875
李石寨,LET,123.72752,41.817263
滦县,UXP,118.705792,39.757596
莱阳,LYK,120.709011,36.927889
辽阳,LYT,123.168998,41.281879
龙游,LMH,119.16577,29.003253
罗源,LVS,119.577058,26.455762
耒阳西,LPQ,112.788199,26.414996
兰州新区,LQJ,103.618829,36.469405
麻城北,MBN,114.984773,31.186877
渑池南,MNF,111.773815,34.6854
美兰,MHQ,110.46137,19.941565
汨罗东,MQQ,113.144065,28.745926
明珠,MFQ,113.51498,22.268729
宁德,NES,119.583733,26.669308
宁海,NHH,121.420178,29.336662
南靖,NJS,117.449662,24.578057
南朗,NNQ,113.534338,22.48966
南头,NOQ,113.308917,22.71301
南翔北,NEH,121.309254,31.281559
蓬安,PAW,106.424243,31.000399
瓢儿屯,PRT,123.795771,41.843571
平果,PGZ,107.565752,23.316166
盘锦北,PBD,121.807887,41.335531
莆田,PTS,119.064082,25.350925
普湾,PWT,121.812812,39.330093
郫县,PWW,103.907871,30.808264
曲阜东,QAK,117.069102,35.556544
琼海,QYQ,110.491289,19.240211
秦皇岛,QTP,119.59203,39.965093
潜江,QJN,112.939147,30.389121
全椒,INH,118.281926,32.061666
前山,QXQ,113.52624,22.234268
戚墅堰,QYH,120.067767,31.722879
青田,QVH,120.279913,28.136509
清远,QBQ,113.134569,23.693899
钦州东,QDZ,108.668383,21.979244
青州市,QZK,118.503781,36.771306
瑞安,RAH,120.581153,27.766737
瑞昌,RCG,115.671356,29.688516
容桂,RUQ,113.312489,22.751814
双城北,SBB,126.27174,45.426856
顺德,ORQ,113.276591,22.875641
顺德学院,OJQ,113.32054,22.822305
绅坊,OLH,120.992023,28.197143
韶关,SNQ,113.514421,24.750881
水家湖,SQH,117.168891,32.482912
松江南,IMH,121.229999,30.983384
萨拉齐,SLC,110.5322,40.564453
三门峡南,SCF,111.160173,34.748647
三门县,OQH,121.363209,29.055158
四平东,PPT,124.435935,43.138267
绥中北,SND,120.324497,40.348462
苏州北,OHH,120.643315,31.421618
宿州东,SRH,117.251064,33.675443
苏州园区,KAH,120.710713,31.341177
苏州新区,ITH,120.524936,31.371963
泰安,TMK,117.035353,36.172188
台安,TID,122.430708,41.445795
唐家湾,PDQ,113.551852,22.363043
泰康,TKX,124.448029,46.871205
铜陵,TJH,117.858657,30.919839
铁岭西,PXT,123.672317,42.233245
图们北,QSL,129.799865,42.997069
天门南,TNN,113.456953,30.427446
太姥山,TLS,120.224477,27.126927
潼南,TVW,105.87798,30.219309
土溪,TSW,107.060781,31.014341
桐乡,TCH,120.567464,30.537436
田阳,TRZ,106.935927,23.765933
滕州东,TEK,117.257683,35.090542
台州,TZH,121.289654,28.685906
文昌,WEQ,110.737657,19.606514
潍坊,WFK,119.098308,36.697159
瓦房店西,WXT,121.837837,39.657041
温岭,VHH,121.325271,28.479122
渭南北,WBY,109.481271,34.536309
万宁,WNQ,110.381587,18.807867
武清,WWP,117.016277,39.372607
无锡东,WGH,120.46023,31.596935
无锡新区,IFH,120.392207,31.497807
小榄,EAQ,113.269966,22.64724
仙林,XPH,118.912736,32.122743
咸宁北,XRN,114.301473,29.898662
犀浦东,XAW,103.990865,30.736382
霞浦,XOS,120.033225,26.908695
犀浦,XIW,103.972417,30.757224
徐水,XSP,115.645144,39.03337
杏树屯,XDT,122.158214,39.26735
仙桃西,XAN,113.140002,30.425014
襄阳东,XWN,112.226673,32.097038
徐州东,UUH,117.304004,34.267591
阳澄湖,AIH,120.861909,31.380605
雁荡山,YGH,121.152086,28.341667
于都,YDG,115.416924,25.975525
英德西,IIQ,113.350458,24.160398
余杭,EVH,120.295452,30.380725
永嘉,URH,120.695341,28.069111
营口东,YGT,122.428897,40.625291
玉门,YXJ,97.927348,39.814306
云梦,YMN,113.7383,31.021074
阳泉北,YPP,113.438244,38.115185
乐清,UPH,120.859754,28.084421
永修,ACG,115.816248,29.020236
弋阳,YIG,117.445175,28.4109
岳阳东,YIQ,113.207647,29.366583
中川机场,ZJJ,103.61598,36.504134
正定,ZDP,114.556917,38.162601
肇东,ZDB,125.998261,46.076712
枝江北,ZIN,111.772237,30.477026
诸暨,ZDH,120.185436,29.727684
镇江南,ZEH,119.424136,32.152451
樟木头,ZOQ,114.067717,22.901235
章丘,ZTK,117.499204,36.722255
中山北,ZGQ,113.382517,22.557938
中山,ZSQ,113.433368,22.544159
枣阳,ZYN,112.761668,32.069954
漳州,ZUS,117.716038,24.456973
株洲西,ZAQ,113.068768,27.790789
郑州西,XPF,113.424941,34.745489
安图西,AXL,128.894243,43.113258
安阳东,ADF,114.452728,36.084028
保定东,BMP,115.601492,38.864142
白沟,FEP,116.101829,39.081157
滨海,FHP,117.6111,39.080818
滨海北,FCP,117.762185,39.236073
宝鸡南,BBY,107.231122,34.334085
北井子,BRT,116.920286,43.031725
白马井,BFQ,109.251061,19.653674
璧山,FZW,106.224108,29.503869
本溪新城,BVT,123.677189,41.480797
宾阳,UKZ,109.091996,23.216503
白洋淀,FWP,115.874326,39.069321
百宜,FHW,106.851988,26.707875
霸州西,FOP,116.350402,39.093444
巢湖东,GUH,117.924903,31.617585
从江,KNW,109.114834,25.908873
长临河,FVH,117.483248,31.698254
长寿北,COW,107.074985,29.880457
潮汕,CBQ,116.587789,23.539196
长汀南,CNS,116.357518,25.766284
长兴,CBH,119.903996,30.990589
潮阳,CNQ,116.42238,23.380822
城子坦,CWT,122.477945,39.495456
东安东,DCZ,111.337262,26.377544
东戴河,RDD,119.847497,40.04194
丹东西,RWT,124.262504,39.998548
东港北,RGT,124.132004,39.911136
大孤山,RMT,123.58567,39.935507
东莞,RTQ,113.859201,23.089194
大荔,DNY,109.92587,34.834516
德清,DRH,120.059287,30.544334
当涂东,OWH,118.52647,31.561131
大通西,DTO,101.673855,36.966455
德兴,DWG,117.860936,28.957579
大冶北,DBN,115.00075,30.122354
都匀东,KJW,107.585638,26.165721
定州东,DOP,115.07512,38.508258
大足南,FQW,105.745606,29.420791
峨眉山,IXW,103.466335,29.576462
鄂州东,EFN,114.948095,30.361526
防城港北,FBZ,108.377029,21.713812
凤城东,FDT,124.134736,40.464389
繁昌西,PUH,118.158967,31.072436
丰都,FUW,107.690347,29.845553
涪陵北,FEW,107.277532,29.770426
福山镇,FZQ,121.305896,37.455383
福田,NZQ,114.056665,22.539096
抚州东,FDG,116.616912,28.2604
抚州,FZG,116.352574,27.918924
高安,GCG,115.385817,28.470522
广安南,VUW,106.592707,30.451763
高碑店东,GMP,115.9464,39.2886
恭城,GCZ,110.869969,24.83037
贵定北,FMW,107.232534,26.593033
葛店南,GNN,114.660061,30.490325
贵定县,KIW,107.22927,26.581349
广汉北,GVW,104.275792,31.009127
桂林西,GEZ,110.267176,25.35462
光明城,IMQ,113.954286,22.732865
广宁,FBQ,112.426086,23.585314
广宁寺,GQT,121.813885,39.189029
桂平,GAZ,110.116405,23.316069
古田北,GBS,118.665271,26.461859
高台南,GAJ,99.769807,39.294954
古田会址,STS,116.772577,25.184158
贵阳北,KQW,106.674231,26.619282
高邑西,GNP,114.531152,37.629509
惠安,HNS,118.714828,25.057271
鹤壁东,HFF,114.300183,35.70579
珲春,HUL,130.402415,42.902013
邯郸东,HPP,114.558896,36.619724
惠东,KDQ,114.794403,22.845442
海东西,HDO,102.055562,36.509439
洪洞西,HTV,111.581276,36.253819
哈尔滨北,HTB,126.536029,45.850645
合肥北城,COH,117.25268,32.063449
合肥南,ENH,117.290854,31.799213
黄冈,KGN,114.943646,30.48636
黄冈东,KAN,114.985024,30.50742
横沟桥东,HNN,114.374448,29.933683
黄冈西,KXN,114.887767,30.50388
怀化南,KAQ,109.992897,27.512446
黄河景区,HCF,113.532876,34.931268
花湖,KHN,115.022328,30.26118
怀集,FAQ,112.159454,23.892349
黄流,KLQ,108.831005,18.528709
黄陵南,VLY,109.387598,35.581919
鲘门,KMQ,115.125282,22.812585
虎门,IUQ,113.673298,22.860517
侯马西,HPV,111.288167,35.601635
淮南东,HOH,117.150792,32.645934
合浦,HVZ,109.187537,21.622537
华容东,HPN,114.786503,30.531945
华容南,KRN,114.802946,30.395027
黄石北,KSN,115.00775,30.210467
黄山北,NYH,118.272306,29.815252
贺胜桥东,HLN,114.371963,30.019847
花山南,KNN,114.51197,30.528194
海阳北,HEK,120.960842,37.069608
花园口,HYT,122.620434,39.561617
霍州东,HWV,111.837554,36.564671
惠州南,KNQ,114.492323,22.784548
旌德,NSH,118.529048,30.291845
尖峰,PFQ,108.796744,18.687269
蛟河西,JOL,127.301414,43.729601
军粮城北,JMP,117.427661,39.066378
将乐,JLS,117.479109,26.695725
即墨北,JVK,120.394264,36.403793
建宁县北,JCS,116.870805,26.915612
江宁,JJH,118.898636,31.935474
江宁西,OKH,118.595537,31.823563
建瓯西,JUS,118.278932,27.049106
酒泉南,JNJ,98.535587,39.70153
句容西,JWH,118.979555,31.832306
绩溪北,NRH,118.571287,30.071301
介休东,JDV,111.988097,37.052937
泾县,LOH,118.388758,30.658777
进贤南,JXG,116.234492,28.337337
简阳南,JOW,104.518245,30.353668
嘉峪关南,JBJ,98.309438,39.718047
缙云西,PYH,120.055373,28.676867
晋中,JZV,112.642638,37.686428
凯里南,QKW,107.887315,26.516046
葵潭,KTQ,115.997932,23.063884
开阳,KVW,106.974157,27.041487
隆安东,IDZ,107.71261,23.148762
来宾北,UCZ,109.24433,23.752318
绿博园,LCF,113.933626,34.779816
隆昌北,NWW,105.290718,29.465548
老城镇,ACQ,110.1183,19.933182
龙洞堡,FVW,106.800166,26.540663
乐都南,LVO,102.391055,36.467881
娄底南,UOQ,112.014617,27.664025
乐东,UQQ,108.938487,18.444578
离堆公园,INW,103.623842,30.993479
陆丰,LLQ,115.733394,22.948045
临汾西,LXV,111.465625,36.10192
临高南,KGQ,109.759084,19.86812
滦河,UDP,118.672098,39.853857
漯河西,LBN,113.963272,33.57242
罗江东,IKW,104.53479,31.304001
龙里北,KFW,106.966014,26.468258
醴陵东,UKQ,113.578001,27.714875
灵石东,UDV,111.915775,36.879565
乐山,IVW,103.712707,29.601903
溧水,LDH,119.096321,31.679117
洛湾三江,KRW,106.776131,26.663016
莱西北,LBK,120.530274,36.823431
溧阳,LEH,119.503032,31.385949
柳园南,LNR,95.472128,41.101883
鹿寨北,LSZ,109.654372,24.640063
临泽南,LDJ,100.124368,39.133935
马鞍山东,OMH,118.539641,31.692103
明港东,MDN,114.065865,32.487702
民乐,MBJ,100.838905,38.473704
牟平,MBK,121.650993,37.423621
闽清北,MBS,118.876987,26.287114
眉山东,IUW,103.82383,30.066217
庙山,MSN,114.373545,30.412865
门源,MYO,101.528072,37.426864
孟庄,MZF,113.836997,34.585068
南曹,NEF,113.7812,34.730081
南城,NDG,116.617534,27.563706
南昌西,NXG,115.79231,28.622736
南芬北,NUT,123.744646,41.133175
南丰,NFG,116.601455,27.286084
南湖东,NDN,114.380981,30.467052
内江北,NKW,105.084729,29.609297
南江,FIW,106.973572,26.894096
南江口,NDQ,111.78823,23.119324
南陵,LLH,118.297666,30.835767
南宁东,NFZ,108.413702,22.842626
南平北,NBS,118.273063,26.59076
南阳寨,NYF,113.617422,34.814483
普安,PAN,104.908563,25.798825
皮口,PUT,122.360907,39.408602
普宁,PEQ,116.199305,23.266845
平南南,PAZ,110.431941,23.417721
彭山北,PPW,103.86086,30.207796
萍乡北,PBG,113.84891,27.683842
平遥古城,PDV,112.149994,37.155836
彭州,PMW,103.924866,30.978838
青白江东,QFW,104.223955,30.895583
青岛北,QHK,120.374588,36.169638
祁东,QMQ,112.065915,26.759421
青堆,QET,121.917394,41.451995
青莲,QEW,104.701562,31.671194
齐齐哈尔南,QNB,123.970786,47.28468
清水北,QEJ,99.098069,39.374412
青神,QVW,103.770608,29.848211
岐山,QAY,107.613287,34.274027
庆盛,QSQ,113.491517,22.866261
祁县东,QGV,112.357849,37.323331
祁阳,QWQ,111.832162,26.609848
全州南,QNZ,111.041791,25.953114
棋子湾,QZQ,108.807959,19.337512
荣昌北,RQW,105.636334,29.433314
荣成,RCK,122.407906,37.144687
榕江,RVW,108.555522,25.988312
饶平,RVQ,116.93261,23.711767
宋城路,SFF,114.284089,34.785525
邵东,FIQ,111.747817,27.274257
三都县,KKW,107.816384,26.07655
胜芳,SUP,116.760485,39.138998
双峰北,NFQ,112.014686,27.563164
三江南,SWZ,109.576539,25.726281
双流机场,IPW,103.956402,30.569186
双流西,IQW,103.919032,30.542769
三明北,SHS,117.806368,26.375696
山坡东,SBN,114.359939,30.086227
鄯善北,SMR,90.195699,42.918764
三水南,RNQ,112.871325,23.114135
韶山南,INQ,112.547493,27.887844
三穗,QHW,108.651069,26.964327
汕尾,OGQ,115.42874,22.810787
歙县北,NPH,118.410414,29.921731
绍兴北,SLH,120.538062,30.099334
邵阳北,OVQ,111.504388,27.572483
上虞北,SSH,120.853008,30.054717
沈阳南,SOT,123.407885,41.668499
深圳北,IOQ,114.02887,22.609235
神州,SRQ,110.307973,18.724602
深圳坪山,IFQ,114.327024,22.707696
石柱县,OSW,108.097205,29.965833
桃村北,TOK,121.146658,37.211731
田东北,TBZ,107.141483,23.683067
土地堂东,TTN,114.337996,30.212615
太谷西,TIV,112.509249,37.448455
吐哈,THR,90.53177,43.060743
吐鲁番北,TAR,89.110484,43.022534
铜陵北,KXH,118.021423,31.013145
泰宁,TNS,117.153289,26.926797
铜仁南,TNW,108.981046,27.282405
汤逊湖,THN,114.384909,30.44552
藤县,TAZ,110.987021,23.334843
太原南,TNV,112.610933,37.791672
通远堡西,TST,123.916811,40.778917
文登东,WGK,122.258125,37.241135
五府山,WFG,118.045896,28.227687
威海北,WHK,122.048164,37.496774
五龙背东,WMT,124.287007,40.264482
乌龙泉南,WFN,114.345162,30.256809
无为,IIH,117.968432,31.30457
瓦屋山,WAH,119.274118,31.558808
闻喜西,WOV,111.179446,35.336545
武义北,WDH,119.848704,28.982558
武夷山北,WBS,118.045197,27.777974
武夷山东,WCS,118.094107,27.472708
婺源,WYG,117.87738,29.239097
武陟,WIF,113.451273,35.088723
梧州南,WBZ,111.222079,23.393494
兴安北,XDZ,110.667488,25.673368
许昌东,XVF,113.88643,34.04807
新都东,EWW,104.193518,30.799823
襄汾西,XTV,111.336418,35.838595
孝感北,XJN,114.221842,31.586398
新化南,EJQ,111.160652,27.655542
新晃西,EWQ,109.126094,27.380251
新津,IRW,103.870908,30.465489
新津南,ITW,103.858086,30.349217
咸宁东,XKN,114.344888,29.866169
咸宁南,UNN,114.305863,29.837004
溆浦南,EMQ,110.59285,27.604727
湘潭北,EDQ,112.94238,27.964689
邢台东,EDP,114.591209,37.091882
修武西,EXF,113.425185,35.210799
新乡东,EGF,113.979001,35.314324
