站名,经度,维度
清华园站,116.3458251,39.9885747
昌平北站,116.2395661,40.23754638
昌平站,116.2000659,40.19638953
南口站,116.1360792,40.2455928
官高,116.3157621,40.24393881
北京东站,116.4911765,39.90880868
黄村站,116.3386746,39.72765366
北京站,116.4337332,39.90979135
云居寺,115.8068279,39.62786826
孤山口,115.8672234,39.64368207
平峪,115.5587345,39.67254179
南观村,116.0092991,39.77969934
上万,116.0489501,39.82975892
十渡站,115.5958374,39.65329038
燕山站,115.9650243,39.7563515
三合庄,115.7192305,39.64208956
良各庄,115.9438663,39.72551625
北京南站,116.3854936,39.87101558
大灰厂,116.140444,39.86599941
北京西站,116.3275639,39.90092693
清河站,116.3214858,40.0478317
怀柔站,116.6554166,40.32293755
怀柔北站,116.6992889,40.41460543
庙城,116.6379738,40.30701201
北宅,116.5771148,40.34931357
斜河涧,116.070987,39.98425766
三家店站,116.1268964,39.95650723
安家庄,115.9603613,40.00403029
落坡岭,115.9929832,39.99394838
雁翅,115.9040336,40.04142084
珠窝,115.8091217,40.06375561
沿河城,115.7331072,40.1088439
密云站,116.8601055,40.40117516
统军庄,116.7605699,40.34883196
张辛,116.6928192,40.01800637
高各庄,116.6313682,40.26479344
顺义站,116.6520091,40.13171317
通州西站,116.6337145,39.91028043
北京北站,116.3606506,39.9484103
八达岭站,116.0026565,40.36522637
延庆站,115.9973437,40.48031576
康庄站,115.904914,40.38630099
霸州站,116.3826616,39.1289686
保定东站,115.6081024,38.87025697
板城,115.2629976,39.61976235
北屯,87.76817265,47.32935
保定站,115.4864201,38.86945201
徐水站,115.6446573,39.03756541
泊头站,116.5930448,38.06755886
沧州西站,116.774544,38.31267506
东光站,116.5436974,37.90474587
青县站,116.844858,38.58334802
肃宁站,115.856398,38.42139972
沧州站,116.8841924,38.31492196
高寺台,117.9699031,41.16628282
永和,118.3575378,40.78464952
甲山,118.2714751,40.7950066
南湾子,117.8261589,40.73656044
大杖子,118.5565389,40.85741039
新杖子站,118.3450624,40.88491434
上板城南站,118.0538318,40.83160985
隆化站,117.7574611,41.33500522
韩麻营,117.8480588,41.2844328
超梁沟,117.7028258,41.23981687
闹海营,117.7234485,41.30065092
五道河,117.0725561,40.89973461
二道沟门,117.1579891,40.89231806
流水沟,117.1521468,40.71242271
窑上,117.4151606,40.9900661
白旗,117.6786566,41.1650172
梁底下,117.6321597,41.11436068
猴山,117.0360195,40.82145721
虎什哈,116.9972676,40.86676081
金沟屯,117.5234901,41.06539537
滦河沿,117.550476,41.08556954
南大庙,117.0773468,40.77689482
平坊,117.2496782,40.89877036
张百湾,117.488803,41.00532843
滦平站,117.3232274,40.92920849
平泉站,118.706445,41.00564653
小寺沟站,118.6523335,40.90566165
承德站,117.9608421,40.97163181
上板城站,118.0644221,40.8446675
西大庙,117.9741914,40.81134465
双峰寺,117.9777642,41.05467947
黄土坎,120.8046757,41.0778396
承德东,117.9966242,40.89549917
洞庙河,117.7011939,40.57779804
潘家店,117.8235571,40.68049259
下台子站,117.7476574,40.60933937
六道河子,117.3225144,40.40169387
兴隆县站,117.5206594,40.4431946
鹰手营子站,117.6757401,40.56185243
榆树沟,118.4113284,40.79181637
上谷,118.4872937,40.80217623
下板城站,118.1831751,40.78050256
磁县站,114.3793746,36.36651873
定州站,114.98013,38.53558318
定州东站,115.0823812,38.51454456
高碑店东站,115.9513986,39.29538107
高碑店站,115.8653049,39.33503105
和村,114.1296983,36.56294965
临水,114.243126,36.43983428
新坡,114.3015984,36.47712769
邯郸东站,114.5657319,36.62607277
邯郸站,114.4832224,36.60943951
涉县站,113.6747207,36.58337541
前磨头站,115.4992017,37.80191929
深州站,115.6196284,38.01755506
龙华站,116.0291385,37.61809297
饶阳站,115.7240405,38.24364746
衡水站,115.6973163,37.75031988
大营镇站,115.7417316,37.32471324
枣强站,115.7449802,37.51095071
上安,114.2063715,38.0671225
南张村,114.0715172,38.0025105
百里峡站,115.4005582,39.68936988
野三坡站,115.4604665,39.67695516
白涧站,115.2962698,39.65195759
福山口,115.3479259,39.68067363
艾河,114.5543403,39.39972273
小西庄,114.6358053,39.40793041
浮图峪,114.8395483,39.37242307
涞源站,114.7181749,39.37738406
塔崖驿,115.0143276,39.43534806
王安镇,114.9535819,39.41410529
三河县站,117.1054481,39.98462191
燕郊站,116.8323763,39.9474512
廊坊站,116.7152693,39.51527215
大厂县,116.9232537,39.95751747
廊坊北站,116.7122906,39.51893719
马柳,118.5279464,39.86478481
滦河站,118.6780791,39.86264932
北戴河站,119.4266249,39.85683834
昌黎站,119.174425,39.71009866
抚宁站,119.2557715,39.89929206
卢龙站,118.9901644,39.95788572
任丘站,116.1507519,38.70058744
段甲岭,117.1753833,39.99179022
三平,117.0035616,39.96737911
沙河市站,114.5041606,36.86715663
井店站,113.7290152,36.61117517
豆庄,113.8534541,36.73605889
偏店,113.760495,36.65260106
悬钟,113.584629,36.66619261
良村,114.6805785,38.04656091
藁城站,114.8391034,38.03379057
晋州站,115.0388088,38.02685824
高邑站,114.6041323,37.61084959
高邑西站,114.5380533,37.63584376
南峪站,113.9441185,37.99647503
井南站,114.0303663,38.00480792
井陉站,114.1438129,38.04113183
石家庄站,114.4909897,38.01654849
石家庄北站,114.4719005,38.072183
元氏站,114.5509289,37.76546518
正定机场站,114.718103,38.25838775
迁安站,118.6995828,39.93203449
富庄子,117.9369055,39.84851678
唐山北站,118.125867,39.82338891
唐山站,118.1265712,39.63202776
杨各庄,118.6040148,39.81074459
福山寺,118.4363369,39.88218218
滦县站,118.7126227,39.76348786
狼窝铺,118.2948582,39.84636996
石郎庄,118.3597185,39.86940024
螺山,117.562679,39.93035517
玉田县站,117.7415771,39.88883109
吴桥站,116.3932577,37.63331531
磁山站,114.1248416,36.60384471
康城,114.2971729,36.66250077
徘徊北,114.05219,36.61322934
什里店,113.9495606,36.69668896
武安站,114.2189251,36.68317107
午汲,114.161435,36.65821601
阳邑站,113.9098074,36.7437698
新固镇,113.9888272,36.64354866
辛集站,115.2220815,37.91093899
南宫东站,115.708256,37.18192185
邢台站,114.4994432,37.07587378
邢台东站,114.5985215,37.09746663
前苇塘,117.419065,40.40697179
南城司,115.2692656,39.55534885
奇峰塔,115.2386263,39.49657079
大盘石,115.0983705,39.43373087
紫荆关,115.1843586,39.46008255
张家口南站,114.889856,40.75795432
官厅站,115.5920328,40.26010372
官厅西,115.5858401,40.25897682
沙城站,115.522507,40.40333819
张家口站,114.8893434,40.81623702
下花园站,115.2866497,40.49251059
宣化站,115.0637507,40.60387237
沙岭子站,114.9314951,40.67866165
涿州东站,116.0595192,39.46600521
涿州站,115.9905135,39.48743725
德州站,116.294877,37.45554889
德州东站,116.4681833,37.41566482
大涧,114.3077421,39.48619143
南峧,113.5640018,36.57980076
水洋,120.1803915,30.25341831
云彩岭,114.3696044,39.45480251
招柏,114.4153857,39.4110377
微子镇,113.3062148,36.33728031
潞城站,113.2287127,36.32668555
阳泉站,113.5987783,37.86238837
岩会站,113.7479668,37.88586374
娘子关站,113.8802477,37.97353039
程家,113.8518224,37.92844635
阳泉北站,113.4449446,38.12129326
黎城站,113.3991048,36.5207447
大口屯,117.2710576,39.61068597
宝坻站,117.342212,39.72159789
汉沟镇,117.1080871,39.30362376
北仓,117.1586928,39.24855449
滨海北站,117.7680051,39.24282447
滨海站,117.6181534,39.08764455
军粮城,117.4552031,39.06282703
军粮城北站,117.4349705,39.07185395
天津站,117.2167068,39.14138387
天津西站,117.1699861,39.1642329
别山,117.4849032,39.96156848
蓟县站,117.4044877,40.03265652
上仓,117.4158713,39.91682604
下仓,117.4406648,39.80268377
蓟县南,117.3710339,39.9979158
静海站,116.936439,38.93842059
唐官屯,116.9371155,38.71726736
塘沽站,117.6475189,39.03317065
曹子里,117.1601366,39.42754586
崔黄口,117.2080203,39.52727494
武清站,117.0228119,39.37808862
杨柳青站,117.0089882,39.1477429
天津南站,117.0674482,39.06275337
旧庄窝东,115.6543829,40.1732886
旧庄窝,115.6458073,40.17850937
石板滩,104.2711249,30.73196773
娄山关,106.9065437,28.03925635
么铺,105.8472574,26.18274653
高峰,106.3520389,26.39286869
新平坝,106.2978693,26.41496214
平坝,106.3031875,26.39596538
化处,105.6261025,26.21514324
天龙,106.1782717,26.37464898
安顺,105.9491439,26.23572343
两所屯,106.0152719,26.27449058
墨冲,107.47324,26.05687497
都匀,107.5218161,26.23798673
打羊,107.5796815,25.65159634
星朗,107.5002478,25.4740671
独山,107.5541797,25.87014284
麻尾,107.4757701,25.35034292
学庄,107.5719651,25.6986049
朱石寨,107.4804701,25.39596329
黄丝,107.4147117,26.59539901
福泉,107.5426276,26.6313937
高峰,106.3520389,26.39286869
贵定南,115.0184613,24.78634792
贵定,107.2352864,26.58731838
湖潮,106.5295479,26.44904704
贵阳,106.7099004,26.56252613
息烽,106.7538751,27.08380827
宝老山,108.0692621,26.83851335
黄平,108.106789,26.87339656
凯里,107.9828169,26.60910231
加劳,108.016006,26.73743775
桐木寨,108.0039332,26.68831413
六个鸡,107.7909502,26.57747316
六枝,105.4710506,26.23157939
马嘎,104.7795945,26.62823615
水城,104.8987496,26.58100714
六盘水,104.8581505,26.59708963
那玉,105.4333617,26.25679556
关寨,105.2302906,26.28975266
高坪铺,107.1496613,26.51991744
麻江,107.4573016,26.47515426
普定,105.7188107,26.28920259
黄桶,105.6922166,26.20390564
龙里,106.9760408,26.45677323
老罗堡,106.9096367,26.46732422
施秉,108.1406645,26.92345884
茨冲,105.1158712,26.49797652
双水,104.9482464,26.55657783
滥坝,105.047483,26.55214555
二道岩,105.1674664,26.36958746
桐梓,106.8385747,28.1361924
凉风垭,106.8350066,28.24696595
大河坝,106.8512597,28.32543192
红花园,106.8572777,28.07088124
木竹河,106.8830066,28.64194059
新场,106.8486633,28.2979862
三元坝,106.84502,28.49598303
松坎,106.8800205,28.55975001
九龙塘,106.8522321,28.36506126
蒙渡,106.8502305,28.43882863
太白,106.8596873,28.39878195
元田坝,106.8464465,28.1968916
玉屏,108.9412467,27.24552304
草海,104.2678634,26.89201556
梅花山,104.6766031,26.70545515
迤那,103.8933061,27.08754694
花土坡,103.8482805,27.2666389
蕉溪,108.5585306,27.08507525
青溪,108.7413114,27.12627901
镇远,108.416404,27.0408072
老王洞,108.4873929,27.08560615
羊坪,108.8379253,27.18472214
水花,108.283815,27.00288454
织金,105.7684313,26.66014315
遵义,106.9547906,27.70850931
汇塘河,106.9296972,27.97426751
松坝,106.9642025,27.92092481
巴中,106.7723438,31.87921601
成都东,104.1477187,30.63513395
都江堰,103.6448454,30.9633232
成都,104.0797802,30.70361284
洪安乡,104.3429373,30.71633972
马街,103.8985945,22.66585377
红光镇,103.9501322,30.77800025
郫县西,103.886163,30.83013489
郫县东,103.9325651,30.79885526
郫县,103.9146359,30.81447117
犀浦,103.9788295,30.76328592
红花塘,104.484667,30.67279207
陈家湾,104.4312584,30.70921897
青城山,103.6128703,30.89783801
公兴,103.9749181,30.48582232
成都南,104.074915,30.61228969
犀浦东,103.9971276,30.74279383
新津,103.8799145,30.47071668
渡市,107.2914429,31.03161621
覃家坝,107.3595307,31.07727747
三汇镇,107.1810254,31.02061026
土溪,107.0828644,31.02643422
达州,107.4596849,31.20454223
永郎,102.2594026,27.15579619
德阳,104.3965218,31.17206797
罗江,104.5064996,31.31274525
迎宾路,103.6474655,30.98691951
离堆公园,103.6303675,30.99955796
燕岗,103.5306151,29.55871234
杨漩,103.406164,29.31004381
峨眉,103.5284957,29.59733933
双福,103.537742,29.69405097
苏雄,102.8793834,29.15161022
尼日,102.868397,29.20858407
凉红,102.8302177,29.09312411
阿寨,102.6841415,28.89623909
广安,106.9033846,30.49969168
岳池,106.4770794,30.54252111
广安南,106.5992591,30.45770612
广汉,104.2673754,30.98526356
广元南,105.8050956,32.42404279
广元,105.8280546,32.4563626
广元东,105.8448642,32.44806858
竹园坝,105.1765611,32.19525301
白水,106.0338719,32.26651443
旺苍,106.3703357,32.24476638
黄洋,106.3661446,32.24684438
嘉川,106.2087088,32.21863311
普济,106.4619705,32.24607144
尚武,106.1307346,32.23536418
元坝,105.9709905,32.33308559
汉源,102.9122695,29.23859556
长河坝,102.9490965,29.31528001
华蓥,106.7877861,30.36921358
高兴,106.7376549,30.28172919
马村,103.613639,29.81876071
吴场,103.6644388,29.88473968
简阳,104.5597069,30.38514538
石桥镇,104.5224898,30.42677914
庙子沟,104.6181289,30.30320826
灵仙庙,104.4902402,30.58471357
养马河,104.5113553,30.51590627
江油,104.7760852,31.78764484
五凤溪,104.4999074,30.63057728
开江,107.8079662,30.91987184
共和,103.3198492,29.30365855
峨边,103.1920724,29.26465296
乐山,103.5829561,29.75565701
柏村,103.1920724,29.26465296
金口河,103.1126147,29.29441484
关村坝,103.0337803,29.29433016
代湾,103.4673494,29.31814958
刘沟,103.5233882,29.27121546
轸溪,103.5693774,29.32361225
沙湾,103.5441427,29.4184182
冕宁,102.1991134,28.29028264
黄家坝,102.1774147,27.48106126
德昌,102.1927723,27.40292848
蒲坝,102.3129169,27.23179607
乐跃,102.3289331,27.30082754
麻栗,102.1989095,27.54366859
小高,102.2803059,27.36011548
埃岱,102.8120635,29.03816267
甘洛,102.7684492,28.98425882
南尔岗,102.7684492,28.98425882
新铁村,102.2474942,28.31839577
漫水湾,102.1698455,28.21341177
